case_id,skipped_layer,pixel_mae,pixel_rmse,pixel_max_delta,elapsed_seconds,wall_seconds,output_path,prompt
skip_layer_24,24,20.266679763793945,41.830589294433594,255.0,4.136516361963004,4.136521132197231,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_24.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_51,51,20.17091178894043,42.98432922363281,255.0,4.071763471700251,4.071769242174923,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_51.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_02,2,19.594985961914062,43.38423538208008,255.0,4.201245351694524,4.201252273283899,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_02.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_34,34,19.104829788208008,35.35127639770508,255.0,4.150428606197238,4.150433315895498,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_34.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_29,29,17.456655502319336,35.41007995605469,255.0,4.1483940607868135,4.148398851044476,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_29.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_38,38,17.247255325317383,43.7626953125,255.0,4.201616459991783,4.201621741056442,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_38.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_27,27,16.891672134399414,39.36159896850586,255.0,4.1628785016946495,4.162883852142841,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_27.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_40,40,15.928730010986328,40.320682525634766,255.0,4.221724746748805,4.221730236895382,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_40.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_14,14,15.779852867126465,27.970243453979492,252.0,4.221810074988753,4.221814574208111,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_14.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_43,43,15.715222358703613,39.24013137817383,255.0,4.218944810796529,4.2189501309767365,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_43.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_47,47,15.47321605682373,45.9162483215332,255.0,4.179557508789003,4.179561830125749,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_47.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_36,36,15.206913948059082,38.24388885498047,255.0,4.150572239886969,4.150577589869499,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_36.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_20,20,14.62070369720459,39.7186164855957,255.0,4.20819675270468,4.208201192319393,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_20.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_58,58,14.602728843688965,30.216848373413086,253.0,4.192399531137198,4.192405122332275,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_58.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_54,54,14.249993324279785,36.614837646484375,255.0,4.094302736688405,4.094307537656277,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_54.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_28,28,14.202704429626465,40.2353401184082,255.0,4.124302994925529,4.124307786114514,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_28.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_55,55,14.18667984008789,41.87945556640625,255.0,4.255897681694478,4.2559028710238636,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_55.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_26,26,14.116484642028809,41.801151275634766,255.0,4.1521674217656255,4.152172171976417,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_26.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_39,39,14.066187858581543,40.837806701660156,255.0,4.2282775435596704,4.228282464202493,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_39.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_45,45,13.978527069091797,30.47820472717285,255.0,4.294485418591648,4.294490369036794,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_45.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_19,19,13.531022071838379,35.90485763549805,255.0,4.2392890602350235,4.239293580409139,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_19.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_09,9,12.802634239196777,35.554847717285156,255.0,4.231059966143221,4.23106463579461,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_09.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_25,25,12.701350212097168,29.950231552124023,253.0,4.150329307187349,4.150334317237139,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_25.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_10,10,12.245184898376465,31.460330963134766,255.0,4.247013949789107,4.247018080204725,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_10.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_05,5,12.005531311035156,33.16307067871094,255.0,4.210378251969814,4.2103838520124555,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_05.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_56,56,11.85265064239502,27.34641456604004,254.0,4.1371320420876145,4.137136690784246,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_56.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_50,50,11.81082820892334,37.963409423828125,255.0,4.040500609669834,4.040505310986191,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_50.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_52,52,11.688689231872559,38.681373596191406,255.0,4.240881812758744,4.24088705284521,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_52.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_22,22,11.686314582824707,32.68545150756836,255.0,4.140655745752156,4.140661155804992,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_22.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_18,18,10.785690307617188,30.556943893432617,255.0,4.207105836831033,4.2071104370988905,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_18.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_46,46,10.78397274017334,35.3987922668457,255.0,4.285281782969832,4.285286892205477,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_46.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_08,8,10.689282417297363,29.070533752441406,255.0,4.233269514981657,4.233273924794048,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_08.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_16,16,10.463128089904785,35.92881774902344,255.0,4.1848844811320305,4.184888951014727,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_16.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_53,53,10.23861312866211,35.13499450683594,255.0,4.228153579868376,4.228157870005816,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_53.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_44,44,10.135353088378906,38.01838302612305,255.0,4.2715716059319675,4.271576826926321,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_44.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_41,41,10.003150939941406,29.8081111907959,254.0,4.305523505900055,4.305528905708343,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_41.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_57,57,9.950911521911621,17.731319427490234,248.0,4.080987584311515,4.080991813912988,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_57.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_31,31,9.912700653076172,28.893911361694336,255.0,4.110034823417664,4.110040423925966,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_31.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_06,6,9.860908508300781,27.02872657775879,255.0,4.216510336380452,4.216515166219324,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_06.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_04,4,9.722888946533203,28.792346954345703,255.0,4.204762977082282,4.204768058843911,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_04.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_17,17,9.494547843933105,27.099210739135742,255.0,4.208447851240635,4.208451881073415,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_17.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_48,48,9.290919303894043,27.951839447021484,255.0,4.034330488182604,4.034335467964411,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_48.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_35,35,8.884581565856934,25.971946716308594,255.0,4.180534521583468,4.180539431981742,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_35.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_30,30,8.788436889648438,23.887651443481445,255.0,4.040548913180828,4.040553872939199,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_30.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_33,33,8.70285415649414,33.77637481689453,255.0,4.151442709844559,4.151447810232639,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_33.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_15,15,8.376262664794922,26.906356811523438,255.0,4.176931547001004,4.176936395931989,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_15.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_11,11,7.464426517486572,30.523347854614258,255.0,4.301656850147992,4.3016612199135125,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_11.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_21,21,7.263721466064453,27.68067169189453,254.0,4.209712780080736,4.209718290250748,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_21.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_07,7,7.245815277099609,28.86838722229004,255.0,4.257873436901718,4.257878786884248,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_07.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_13,13,6.509680271148682,21.14977264404297,255.0,4.2083659819327295,4.208370651118457,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_13.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
skip_layer_42,42,6.0676422119140625,15.671351432800293,253.0,4.271644818130881,4.271650528069586,/mnt/local-fast/aalhejab/Qwen-Image-Edit-2511-production/outputs/qwen_text_failure_next_experiments/exp_07_layer_ablation/skip_layer_42.jpg,"Create a plain white square poster with only the exact text ""AI PIZZA"" centered in large black clean sans-serif letters. No other text, no logo, no watermark, no decoration."
